Date,Open,High,Close,Low,Volume,Adj Close
2016-07-14,30.79,31.35,30.72,30.2,61926.19,30.72
2016-07-13,30.84,31.34,31.05,30.04,80279.18,31.05
2016-07-12,31.32,31.63,30.95,29.48,131293.28,30.95
2016-07-11,33.0,33.33,31.35,31.01,166511.22,31.35
2016-07-08,32.77,34.0,33.12,32.24,183150.58,33.12
2016-07-07,32.55,33.33,33.19,31.74,186194.34,33.19
2016-07-06,31.63,33.67,32.94,31.03,267956.47,32.94
2016-07-05,30.4,31.65,31.43,30.4,137013.45,31.43
2016-07-04,29.69,30.5,30.35,29.38,64523.26,30.35
2016-07-01,30.38,30.9,30.14,30.0,71543.01,30.14
2016-06-30,31.33,31.7,30.53,30.25,140747.28,30.53
2016-06-29,30.73,32.3,32.17,30.15,195446.62,32.17
2016-06-28,30.26,31.22,30.63,30.0,97896.66,30.63
2016-06-27,29.28,30.5,30.36,29.18,88457.74,30.36
2016-06-24,30.0,30.88,29.77,27.75,114082.86,29.77
2016-06-23,31.79,31.89,30.44,30.1,130453.45,30.44
2016-06-22,29.53,31.8,31.79,29.53,153362.69,31.79
2016-06-21,32.42,32.57,30.12,29.58,168161.23,30.12
2016-06-20,31.28,32.6,32.0,30.51,182218.12,32.0
2016-06-17,31.04,31.98,31.28,30.18,156629.94,31.28
2016-06-16,30.01,32.56,31.39,29.56,198241.94,31.39
2016-06-15,28.05,30.5,30.13,28.01,140687.28,30.13
2016-06-14,28.18,29.11,28.64,27.8,102594.86,28.64
2016-06-13,31.0,31.47,29.04,29.04,156338.44,29.04
2016-06-08,33.33,33.51,32.28,31.83,185489.38,32.28
2016-06-07,32.9,34.44,33.81,32.0,240188.69,33.81
2016-06-06,31.6,33.25,32.56,31.6,176743.02,32.56
2016-06-03,34.05,34.44,32.26,32.13,324011.66,32.26
2016-06-02,29.33,33.08,33.08,29.2,260856.7,33.08
2016-06-01,29.99,31.82,30.05,29.66,276494.16,30.05
2016-05-31,28.25,30.36,29.92,28.13,222381.47,29.92
2016-05-30,28.79,29.17,28.13,27.74,207257.31,28.13
2016-05-27,30.0,31.95,30.24,29.4,312162.34,30.24
2016-05-26,28.68,30.58,30.58,28.48,291604.59,30.58
2016-05-25,29.1,29.4,28.5,28.17,241753.14,28.5
2016-05-24,28.48,30.65,29.54,28.11,372844.59,29.54
2016-05-23,29.0,29.67,28.6,27.81,392278.16,28.6
2016-05-20,25.44,26.97,26.97,25.25,193518.39,26.97
2016-05-19,22.5,24.52,24.52,22.42,187127.77,24.52
2016-05-18,23.84,23.98,22.4,22.18,189856.3,22.4
2016-05-17,22.6,25.58,24.61,22.6,250451.88,24.61
2016-05-16,22.82,23.35,23.26,21.52,141167.97,23.26
2016-05-13,24.55,24.9,23.36,23.0,176781.95,23.36
2016-05-12,23.65,26.33,25.38,22.18,130809.38,25.38
2016-05-11,38.08,38.98,36.34,35.77,123501.68,36.34
2016-05-10,37.98,39.99,38.85,36.61,201542.39,38.85
2016-05-09,34.01,38.26,38.26,34.0,209267.23,38.26
2016-05-06,36.0,37.46,34.75,34.61,118841.74,34.75
2016-05-05,34.05,34.58,34.57,33.62,56223.67,34.57
2016-05-04,32.5,35.4,34.55,32.05,76913.68,34.55
2016-05-03,31.11,32.92,32.59,30.9,45461.1,32.59
2016-04-29,31.05,31.8,31.2,31.04,28273.37,31.2
2016-04-28,32.66,32.66,31.65,30.87,64877.74,31.65
2016-04-27,33.12,33.5,32.9,32.51,71107.07,32.9
2016-04-26,33.16,33.96,33.96,33.16,39393.2,33.96
2016-04-25,33.47,33.65,33.45,32.56,34794.2,33.45
2016-04-22,32.18,33.97,33.79,32.04,46837.82,33.79
2016-04-21,33.25,33.86,32.46,32.31,47471.95,32.46
2016-04-20,35.65,35.95,33.4,32.23,82888.03,33.4
2016-04-19,35.49,36.26,35.83,35.0,52805.4,35.83
2016-04-18,36.41,36.45,35.17,35.01,67498.22,35.17
2016-04-15,36.66,38.5,37.12,36.08,112609.01,37.12
2016-04-14,34.4,37.49,37.12,34.35,114780.29,37.12
2016-04-13,34.02,35.5,34.59,34.02,86651.87,34.59
2016-04-12,33.97,35.33,34.18,33.66,104880.49,34.18
2016-04-11,32.5,34.15,33.89,32.44,77925.72,33.89
2016-04-08,31.7,32.05,32.01,31.4,36503.02,32.01
2016-04-07,33.17,33.29,32.21,32.1,49103.91,32.21
2016-04-06,33.1,33.65,33.02,32.51,71368.98,33.02
2016-04-05,31.8,33.38,33.09,31.31,65574.39,33.09
2016-04-01,32.3,32.3,31.79,31.05,43299.23,31.79
2016-03-31,32.0,32.79,32.36,31.81,74968.24,32.36
2016-03-30,30.5,31.5,31.47,30.29,47941.72,31.47
2016-03-29,31.39,31.41,29.98,29.4,46077.33,29.98
2016-03-28,31.5,32.2,31.36,31.0,41506.34,31.36
2016-03-25,31.68,31.68,31.26,30.64,46537.07,31.26
2016-03-24,32.15,32.95,31.48,31.47,64834.09,31.48
2016-03-23,31.56,33.18,32.69,31.2,79468.64,32.69
2016-03-22,31.7,31.97,31.51,31.42,53429.09,31.51
2016-03-21,32.0,32.58,32.28,31.36,82944.19,32.28
2016-03-18,30.1,31.58,31.5,29.85,87925.34,31.5
2016-03-17,29.0,30.31,30.12,28.72,71900.45,30.12
2016-03-16,29.35,30.29,28.98,28.85,55087.43,28.98
2016-03-15,29.3,29.8,28.76,28.71,40667.67,28.76
2016-03-14,28.89,30.14,29.65,28.75,62266.68,29.65
2016-03-11,27.8,28.69,28.22,27.5,40869.26,28.22
2016-03-10,29.16,29.69,28.28,28.06,44702.35,28.28
2016-03-09,28.01,30.29,29.24,27.8,64144.08,29.24
2016-03-08,29.5,29.6,29.25,27.16,53070.06,29.25
2016-03-07,29.39,30.43,29.62,29.13,49593.92,29.62
2016-03-04,31.0,31.5,28.78,28.61,75191.63,28.78
2016-03-03,32.4,33.49,31.72,31.65,77822.06,31.72
2016-03-02,30.96,32.98,32.65,30.68,77670.36,32.65
2016-03-01,30.8,32.0,31.45,28.51,69448.42,31.45
2016-02-29,33.8,33.8,30.85,30.85,65074.59,30.85
2016-02-26,35.61,35.97,34.25,33.18,73532.9,34.25
2016-02-25,39.0,39.26,35.63,35.63,94573.27,35.63
2016-02-24,41.6,41.86,39.61,38.03,132396.53,39.61
2016-02-23,40.8,43.24,42.25,40.48,133500.81,42.25
2016-02-22,40.68,41.35,41.07,39.7,117603.72,41.07
2016-02-19,39.63,39.95,39.9,38.7,98221.58,39.9
2016-02-18,39.6,41.77,40.4,38.65,146652.55,40.4
2016-02-17,37.47,41.0,39.5,37.23,135304.66,39.5
2016-02-16,37.59,39.25,38.35,37.0,112873.78,38.35
2016-02-15,34.99,37.74,37.06,34.99,84909.77,37.06
2016-02-05,41.25,41.88,37.98,37.89,137424.58,37.98
2016-02-04,36.91,39.69,39.69,36.91,85808.42,39.69
2016-02-03,36.18,36.69,36.1,34.57,101024.86,36.1
2016-02-02,35.6,37.52,37.14,35.6,126367.96,37.14
2016-02-01,38.2,39.49,36.7,35.42,144143.23,36.7
2016-01-29,37.12,41.75,39.32,35.39,202848.45,39.32
2016-01-28,39.3,41.5,38.9,36.53,255162.7,38.9
2016-01-27,36.25,38.69,38.69,35.6,219690.19,38.69
2016-01-26,36.0,36.86,35.15,34.32,173568.36,35.15
2016-01-25,37.0,37.74,37.74,36.11,224418.52,37.74
2016-01-22,32.01,34.31,34.31,32.0,102363.89,34.31
2016-01-21,33.69,34.38,31.21,31.19,109852.51,31.21
2016-01-20,36.66,37.1,34.66,33.88,142934.86,34.66
2016-01-19,33.5,36.83,36.83,33.5,151290.92,36.83
2016-01-18,32.88,35.64,33.49,32.51,116839.49,33.49
2016-01-15,40.2,40.56,35.67,35.67,124514.81,35.67
2016-01-14,38.34,42.39,39.64,38.3,140903.09,39.64
2016-01-13,42.38,44.74,42.38,42.38,169980.48,42.38
2016-01-12,50.0,50.0,47.09,47.09,171948.81,47.09
2016-01-11,52.32,52.32,52.32,52.32,56544.94,52.32
2016-01-08,47.56,47.56,47.56,47.56,5902.31,47.56
2016-01-07,43.24,43.24,43.24,43.24,1237.0,43.24
2016-01-06,39.31,39.31,39.31,39.31,545.0,39.31
2016-01-05,35.74,35.74,35.74,35.74,2315.29,35.74
2016-01-04,32.49,32.49,32.49,32.49,1451.0,32.49
2015-12-31,29.54,29.54,29.54,29.54,575.0,29.54
2015-12-30,26.85,26.85,26.85,26.85,183.0,26.85
2015-12-29,24.41,24.41,24.41,24.41,249.54,24.41
2015-12-28,22.19,22.19,22.19,22.19,268.56,22.19
2015-12-25,20.17,20.17,20.17,20.17,237.0,20.17
2015-12-24,18.34,18.34,18.34,18.34,103.0,18.34
2015-12-23,16.67,16.67,16.67,16.67,92.0,16.67
2015-12-22,15.15,15.15,15.15,15.15,250.0,15.15
